,stem,translation
0,авадан," весело, жизнерадостно"
1,агада̄, со знач. в западной половине села
2,ага̄, со знач. вне села
3,азодо, летом
4,азодойцӏо, к лету
5,айада̄," со знач. в восточной половине (части) села, на востоке"
7,анталаъ, вовремя
8,арад, в прошлом
9,архийанат," надолго, вечно"
10,асли," как раз, точь-в-точь, в пору"
11,атада̄," там, туда"
12,ата̄, 1) далеко (объект виден)
13,ахо, 1) хорошо
14,аххо, сильно
17,аьдаьдаь," напрасно, бесцельно, попусту, зря"
18,аьдаьтаьлдаь, 1) сильно
19,аьжаьибалда," удивительно, необыкновенно"
20,аьйд," раньше, в старину"
21,аьйдла̄ьгъаьд," по старинке, по-старому"
22,аьлаьмаьтаьлдаь," странно, удивленно"
23,аьлӏаьчаьл, очень много
24,аᴴцӏда̄," 1) в острую сторону, острием"
25,аᴴцӏда̄лаъ, острием (клином) вперед
26,аьᴴйда̄ькьа̄ь," спереди, впереди"
27,аьᴴйдда̄ь," вначале, сначала, сперва"
28,аьᴴтӏаь, много (тляд.)
29,аьᴴхъегъа," наклонно, под наклоном"
30,аьᴴйда̄ь, 1) впервые
31,бадалаъ," со знач. вместо тебя, за тебя"
32,бадо̄лъо, в старину
33,балкьасзу," 1) вдруг, неожиданно"
34,балъго," тайно, тайком"
35,батӏацца, 1) по-другому
36,баьвликьа, на четвереньках
37,бежкьалагъад, по-бежтин-  ски
38,белла̄гъа, со знач. 1) за яловыми (овцами или коровами) 2) перен. в штрафную
39,бета," 1. 1) после, потом"
40,бетагъа, со знач. в сторону
41,беталалъ," в следующий раз, потом"
42,бетала̄лъо," потом, через некоторое время"
43,бехъхъада̄," на восточной стороне (села), на востоке"
44,бизалба̄кьа, 1) форма жеребьевки в игре 2) название первой стадии игры в «чижики»
45,бихъхъаъда̄, 1) на южном склоне
46,боглаъ, вовремя
47,боькъоьъ, исподлобья (выражать недовольство)
48,букъа̄гъад," по-взрослому, как взрослый"
49,букьа̄кьа, в знач. по углам
50,бустӏулликьа," кубарем, кувырком"
51,вагьагга̄," так (как тот, как он)"
52,вагьагга̄зу, 1) просто так
53,вагьадда̄, вот так
