,stem,class,ergative,plural,translation
0,абази,IV,абазийа,йа,уст. сумма и монета в 20 копеек; къона абази сорок копеек
1,абазинав,I,абазинавли,ла,абазинец
2,абазинай,II,абазинайли,ла,абазинка
3,абано,III,абаноли,ва,курорт (чантл.)
4,аби,III,абила,йа,"поговорка, пословица; илла умумаллис аби гей наши предки так говорили (говорят)"
5,або,I,або,ол,"1) отец, папа; ийос або дедушка (букв. матери отец); бестIал або отчим (букв. сиротаотец); абос або дедушка (букв. отец отца); укъо або а) тесть б) свекор (букв. большой отец); абос ис дядя (букв. брат отца); абос оьжоь сынок, сыночек (форма теплого дружеского обращения отца к сыну; букв. папин сын); ицило або а) старик б) дедушка (букв. старый отец); абос ваццал двоюродный брат отца; дие або мой отец, родной отец; абос ахъо мачеха (букв. отца жена) 2) мужчина; иллаъ абōл мокъойо к нам мужчины пришли ♦ абола мицаъ ахъал (// эцал) заменить отца (после смерти родного отца), выполнять обязанности отца (букв. на место отца стать, быть); абола билIоъцой ахъал (// уьнхоьнаьнхаьнл) вести себя нескромно, нагло (букв. быть или вести себя как в отцовском доме) ▲"
6,або-ийо,II,або-ийо,ол,бабушка (отца мать); абоийос ис бабушкин брат; абоийос иси бабушкина сестра; илла абоийол белIнайигна лъина лIи йенкьейо нашей бабушке исполнилось восемьдесят пять лет
7,або-иси,II,або-иси,йа,"тетя (сестра отца); абоисис оьжоь тетин сын, двоюродный брат; кIетIо абоиси хорошая (добрая) тетя"
8,або-йаццал,II,або-йаццалли,ла,двоюродная сестра отца
9,аболай,II,аболай,ла,мачеха; дие кIетIо аболай гей у меня хорошая мачеха (есть)
10,аболъи,IV,аболъила,ла,отцовство; аболъи йовал заменить отца (букв. делать отцовство)
11,аботIе,II,аботIели,йа,мужеподобная женщина
12,абоц,III,абоца,а,"бусина, бусинка; цIикалис абоца а) стеклянные бусы б) фарфоровые бусы; маржаллис абоц коралловая бусина; шелас абоц бусинка из рога; магьилас абоца бусы из слоновой кости ♦ кештIиро абоццор оъал (хаш.) бесследно исчезать (букв. как серая бусинка потеряться); см. шуйра (тляд.)"
13,абоцала,I,абоцала,а,уст. 1) тесть 2) свекор; см. ийоцала  28
14,абрашули,IV,абрашулийа,йа,шелковые нитки; абрашулийас тор кружево из шелковых ниток; абрашулийас цIиндā йовагьал вязать носки из шелковых ниток
15,абхазав,I,абхазавли,ла,"абхаз, абхазец"
16,абхазай,II,абхазайли,ла,абхазка
17,аваданлъи,IV,аваданлъила,ла,"1) веселость, веселье, жизнерадостность 2) хорошие взаимоотношения; аваданлъи йовал а) устроить веселье (веселиться) б) проявить дружеское отношение; аваданлъилаъ бецал жить в хороших взаимоотношениях (дружно); аваданлъи йугъолал прервать хорошие взаимоотношения"
18,аванс,IV,авансли,ла,аванс; аванслис окко авансовые деньги; аванс йокчал получить аванс; аванс нилIал давать аванс; аванс йинхъал получить аванс
19,авара,III,аварали,ла,безразличие; равнодушие; авара гаьччоь сукIо равнодушный (безразличный) человек (букв. равнодушие имеющий человек); гьолцол гьолълъос букъо авара гаьъаь ему все это безразлично
20,авараг,I,аварагли,ла,рел.
21,авари,IV,аварийа,йа,авария; авари йахъал произойти (об аварии); авари йовал совершить аварию; аварийа йойчIе огьдāл работать без аварии
22,август,IV,августли,йа,август; август бицоъ в августе; авгуслиъ бох йагьогьца в августе сено косят
23,аверол,III,аверолли,ла,"зоол. оса (тляд.); см. лIорден (бежт.), ужмужи (хаш.)"
24,авлахъ,III,авлахъли,ла,"равнина, степь авлахълиъ боцIи гей в степи пасется мелкий рогатый скот ♦ гьаьй гикьа йонкъеэш авлахъ очень большая степь, необозримая степь"
25,автамабил,III,автамабилли,ла,автомобиль
26,автамат,IV,автаматли,ла,в разн. знач. 1) автомат (оружие); автаматлиъкьā тIотIдāл стрелять из автомата 2) телефонавтомат
27,автабиаграпийа,IV,автабиаграпийали,а,автобиография; автабиаграпийа чахал написать автобиографию
28,автобус,III,автобусли,ла,автобус; итIино автобус маленький автобус; автобуслис истанцийа автобусная станция; ацIона аьдаьм энлъецас автобус десятиместный автобус; автобусликьа энкьал ехать на автобусе
29,автаручкIа,III,"['автаручкIали', 'автаручкIала']",а,авторучка; автаручкIалад кагъай чахал написать письмо авторучкой; автаручкIалиъис чакъи йолъойо в авторучке закончились чернила
30,агулав,I,агулавли,ла,агулец
31,агулай,II,агулайли,ла,агулка
32,агури,IV,агурийа,йа,кирпич; итIино агури маленький кирпич; цIуддо агури красный кирпич; гьаьлдийо агури белый кирпич; цIуддаъас агури а) красный кирпич б) один из красных кирпичей; агурийас билIо кирпичный дом; агури йовал делать кирпич; агури йуьчIаьл делать кирпич (букв. резать кирпич); см. кирпич
33,аграномлъи,IV,аграномлъила,йа,профессия (занятие) агронома; аграномлъи йовал // аграномлъилаъ огьдāл работать агрономом
34,агъолаги,I,агъолагийа,багъолабагийа,уст. налоговый служащий; сборщик налогов
35,агьло,III,агьлоли,ва,"1) семья; родня, родные; род; илос агьо наша родня, наш род 2) народ; племя; жители селения; аьлIаьш агьло жители села"
36,адаб,III,адабли,ва,"вежливость, учтивость; воспитанность; приличие; уважение; букъо адаб большое уважение"
37,хъатир,IV,хъатирли,ва,"уважение, почет; адабхъатир гаьгьийо сукIо уважаемый человек; почтенный человек (букв. уважениепочет имеющий человек); адабхъатир богьцас сукIо уважающий людей, воспитанный человек; адабхъатир бовал уважать, почитать"
38,адвакатлъи,IV,адвакатлъила,ва,профессия (занятие) адвоката; адвакатлъилаъ огьдāл работать адвокатом; адвакатлъи йовал исполнять обязанности адвоката; работать адвокатом; адвакатлъилас хъогьдāл учиться на адвоката
39,адделенийа,IV,адделенийали,а,отделение; гьаьйдāьш адделенийа глазное отделение; нервалāс адделенийа неврологическое отделение; къовас адделенийа детское отделение
40,адигейав,I,адигейавли,а,адыгеец
41,адигейай,II,адигейайли,а,адыгейка
42,адийал,III,адийалли,ла,"нестеганное одеяло; лъӯнс адийал шерстянное одеяло; шуьшшоь адийал тонкое одеяло; адийал готал укрыться одеялом; дӣкьа адийал кьодо мокъолал натянуть одеяло на себя; см. сабани, йоргъан"
43,адло,III,адлола,ла,порядок; дисциплина; кIетIо адло хорошая дисциплина; адло гаьччоь сукIо недисциплинированный человек; адло гаьччоь къова недисциплинированные дети; адло бовал навести порядок; адлолакьа йонкъал стать дисциплинированной; адло бугъолал нарушать дисциплину (порядок); адлолакьа бече! соблюдайте дисциплину!
44,низам,III,низамли,ла,порядок; дисциплина; адлонизам гаьччоь сукIо неорганизованный (несобранный) человек; адлонизам бовал установить (навести) порядок
45,адлочи,I,адлочийа,йа,"человек, который наводит порядок или следит за порядком"
46,адрай,IV,адрайли,йа,обобщенное название альпийской травы ▲
47,адрис,IV,адрисли,ла,адрес; билIос адрис домашний адрес; илос адрис наш адрес; канвертликьа адрис чахал написать адрес на конверте
48,ажигъдаро,IV,ажигъдароли,ла,"1) заражение; ажигъдаро йахъал заразиться 2) перен. обида; ажигъдаро ахъал обидеться 3) перен. ненастье, непогода; мех ажигъдаро бахъийо погода испортилась"
49,азаб,III,азабли,ла,"1) мученье, мука; страдание; азаб бегāл испытывать страдание, страдать; мучаться 2) наказание; азаб нилIал (// бовал) а) мучать, истязать б) наказывать; см. азабакъуба"
50,акъуба,III,акъубали,а,"мученье, мука; страдание ▲"
51,азаллIибо,III,азаллIиболи,ла,бот. акация желтая
52,азбар,III,азбарли,ла,"двор; итIино азбар дворик; азбаллис кало забор двора; азбарлиъ къова кIисабас дети играют во дворе; см. беж, эзо"
53,азикIа,II,азикIали,а,модница; щеголиха; азикIалъийо йахъал со вкусом (красиво) одеваться (букв. стать как
54,азо,III,азоли,а,лето; биххо азо теплое (жаркое) лето; азо мокъойо наступило лето
55,аййат,III,аййатли,ла,рел. один из отрывков в главе
56,айуз,IV,айузли,ла,бот. овес (тляд.); см. суз
57,айча-хъибо,III,айча-хъиболи,ла,бот. пшеница (безостая)
58,акбар,III,акбарли,ла,"рел. призыв к молитве; акбар илIал произнести молитву, призвать к молитве ♦ анъунл акбардолана жо йикъаъас ничего не знает, ничего не понимает (букв. как осел, кроме акбара, ничего не знает)"
59,акламо,III,акламоли,ва,зоол. верблюд; акламолис кьаьйкъена седло верблюда; акламолис бише верблюженок; акламолкьа кьаьйкъаьл сесть верхом на верблюд; см. варани
60,актйабер,III,актйаберли,ва,октябрь; актийабер боцо октябрь; актйаберлиъ онз гӯйо в октябре выпал снег
61,акушер,I,акушерли,ла,акушер; махшел гаьгьийо акушер опытный акушер; акушерли кIокIова сукIол наьпIчи бōйо акушер больному сделал укол
62,акушерлъи,IV,акушерлъили,ла,профессия (работа) акушера; акушерлъилаъ йогьдāл работать акушером
63,алагъа,III,алагъали,а,лужица (на полу); цимас алагъа лужица мочи
64,ал-ал,IV,ал-алли,ла,игр. городки; алаллилъ кIисабāл играть в городки; алаллиъ уьваьл проиграть в игре городки
65,алазан,III,алазанли,ла,большая река; большое озеро (запруда)
66,алат,IV,алатли,ла,"орудие, инструмент; устарлис алат инструмент мастера; къебедлис алатла инструменты (орудия) кузнеца"
67,албали,IV,албалила,йа,бот. вишня; албалилас хоьхоь вишневое дерево; албалилас мураба вишневое варенье см. бали; цIекIбали (хаш.)
68,аллагь,I,аллагьли,ла,рел.
69,алмаз,III,алмазли,ла,"алмаз (инструмент для резки стекла), н стеклорез; алмазлис йи ъо йугъона алмаз затупился; алмазлид цIика буьчIаьл резать стекло алмазом"
70,алпавит,IV,алпавитли,ла,алфавит; урус алпавит русский алфавит; маьъаьруьл алпавит алфавит аварского языка; алпавит йикъал знать алфавит; алпавит йикъелал выучить алфавит
71,алукIа,III,алукIали,ла,бот. гармала обыкновенная
72,алIохаьле,I,алIохаьлели,йа,"средний (из братьев, сыновей и т.д.)"
73,аманат,III,аманатли,йа,"поручение, наказ; аманат бовал дать поручение, поручить, сделать наказ; аманатлил хийанатлъи йовал изменить (букв. в поручении измену делать); аманат бугъолал не выполнить наказ ▲"
74,амбар,III,амбарли,ла,"амбар; большой деревянный сундук (для муки, зерна); хъибас боцIилло амбар наполненный пшеницей амбар; амбарлиъ гьаьтIтIоь гей в амбаре мука (есть)"
75,амро,III,амрола,ла,"1) веление, поручение 2) приказ, распоряжение; амро бовал дать распоряжение, поручить; амро бугъолал нарушить приказ (распоряжение); ослушаться; амролакьа уьнхоьнаьнхаьнл а) вести себя прилично (хорошо) б) действовать по поручению; амролакьа эцал слушаться, подчиняться, выполнять распоряжение (букв. на поручении стоять, на велении стоять) ▲"
